Samples	Sig1	Sig2	Sig3	Sig4	Sig5	Sig6	Sig7	Sig8	Sig9
Biliary-AdenoCA::SP117627	5923	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP117775	12411	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP117332	3456	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP117712	11307	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP117017	6562	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP117031	9968	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP117759	13310	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP117621	12874	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP117425	13809	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP117930	12838	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99287	3499	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99293	8684	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99289	16421	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99297	1638	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99301	9764	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99305	3820	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99309	5819	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99313	8146	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99317	1481	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99321	3583	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99325	206529	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99329	9914	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99333	2681	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99337	3914	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99341	3781	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99345	3832	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99113	2503	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99185	8962	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99209	10105	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99213	5457	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99221	1628	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99225	3449	0	0	0	0	0	0	0	0
Biliary-AdenoCA::SP99241	18009	0	0	0	0	0	0	0	0
Bladder-TCC::SP1086	15354	0	0	0	0	0	0	0	0
Bladder-TCC::SP1003	25212	0	0	0	0	0	0	0	0
Bladder-TCC::SP1677	31114	0	0	0	0	0	0	0	0
Bladder-TCC::SP1305	36432	0	0	0	0	0	0	0	0
Bladder-TCC::SP963	34116	0	0	0	0	0	0	0	0
Bladder-TCC::SP1144	20222	0	0	0	0	0	0	0	0
Bladder-TCC::SP1132	18936	0	0	0	0	0	0	0	0
Bladder-TCC::SP1712	9910	0	0	0	0	0	0	0	0
Bladder-TCC::SP1114	12531	0	0	0	0	0	0	0	0
Bladder-TCC::SP1431	8970	0	0	0	0	0	0	0	0
Bladder-TCC::SP975	19689	0	0	0	0	0	0	0	0
Bladder-TCC::SP1059	59185	0	0	0	0	0	0	0	0
Bladder-TCC::SP1419	12575	0	0	0	0	0	0	0	0
