Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Biliary-AdenoCA::SP117627	5923	0.613	157545357.225	2659891.224%	35758519.153	3794262.025%	0.41921	0.474
Biliary-AdenoCA::SP117775	12411	0.615	330119099.868	2659891.224%	74928086.458	3843914.347%	0.45905	0.475
Biliary-AdenoCA::SP117332	3456	0.567	91925840.717	2659891.224%	20864677.405	3587698.045%	0.54229	0.415
Biliary-AdenoCA::SP117712	11307	0.479	300753900.75	2659891.224%	68263375.228	4678499.171%	0.67691	0.225
Biliary-AdenoCA::SP117017	6562	0.455	174542062.149	2659891.224%	39616462.231	3696089.796%	0.60587	0.249
Biliary-AdenoCA::SP117031	9968	0.624	265137957.254	2659891.224%	60179156.245	4014996.307%	0.44236	0.485
Biliary-AdenoCA::SP117759	13310	0.626	354031521.976	2659891.224%	80355528.805	3827382.505%	0.42325	0.492
Biliary-AdenoCA::SP117621	12874	0.581	342434396.237	2659891.224%	77723318.583	3617494.656%	0.47638	0.433
Biliary-AdenoCA::SP117425	13809	0.501	367304379.186	2659891.224%	83367897.12	2656542.565%	0.63155	0.375
Biliary-AdenoCA::SP117930	12838	0.696	341476835.396	2659891.224%	77506045.028	4574668.991%	0.41429	0.615
Biliary-AdenoCA::SP99287	3499	0.537	93069593.944	2659891.224%	21124375.678	4785950.776%	0.59976	0.329
Biliary-AdenoCA::SP99293	8684	0.584	230984953.932	2659891.224%	52427479.99	4498948.451%	0.53769	0.418
Biliary-AdenoCA::SP99289	16421	0.415	436780737.969	2659891.224%	99138041.18	4425263.486%	0.74602	0.133
Biliary-AdenoCA::SP99297	1638	0.618	43569018.257	2659891.224%	9889004.31	4369595.729%	0.54265	0.475
Biliary-AdenoCA::SP99301	9764	0.37	259711779.156	2659891.224%	58947726.083	2912417.864%	0.74207	0.192
Biliary-AdenoCA::SP99305	3820	0.584	101607844.774	2659891.224%	23062303.942	4625355.754%	0.53571	0.417
Biliary-AdenoCA::SP99309	5819	0.694	154779070.351	2659891.224%	35130684.789	4601297.086%	0.42735	0.613
Biliary-AdenoCA::SP99313	8146	0.586	216674739.145	2659891.224%	49179458.204	4645139.442%	0.50612	0.421
Biliary-AdenoCA::SP99317	1481	0.61	39392989.034	2659891.224%	8941161.275	4461943.98%	0.51753	0.462
Biliary-AdenoCA::SP99321	3583	0.511	95303902.572	2659891.224%	21631454.269	3758492.381%	0.54441	0.326
Biliary-AdenoCA::SP99325	206529	0.399	5493446746.965	2659891.224%	1246870116.435	3740287.048%	0.71851	0.166
Biliary-AdenoCA::SP99329	9914	0.528	263701615.993	2659891.224%	59853448.992	5051019.287%	0.70782	0.311
Biliary-AdenoCA::SP99333	2681	0.59	71311683.728	2659891.224%	16185866.055	4507373.893%	0.52495	0.427
Biliary-AdenoCA::SP99337	3914	0.593	104108142.525	2659891.224%	23629812.466	4804435.206%	0.52741	0.436
Biliary-AdenoCA::SP99341	3781	0.622	100570487.197	2659891.224%	22826846.281	4849810.165%	0.46022	0.496
Biliary-AdenoCA::SP99345	3832	0.467	101927031.721	2659891.224%	23134817.722	4796246.408%	0.76093	0.196
Biliary-AdenoCA::SP99113	2503	0.461	66577077.348	2659891.224%	15111280.04	4546787.236%	0.68905	0.202
Biliary-AdenoCA::SP99185	8962	0.525	238379451.536	2659891.224%	54105949.732	4826323.527%	0.61496	0.306
Biliary-AdenoCA::SP99209	10105	0.498	268782008.232	2659891.224%	61006580.371	4863055.481%	0.64345	0.252
Biliary-AdenoCA::SP99213	5457	0.603	145150264.119	2659891.224%	32945241.116	4309079.02%	0.44584	0.449
Biliary-AdenoCA::SP99221	1628	0.531	43303029.134	2659891.224%	9828656.954	4585726.357%	0.59544	0.324
Biliary-AdenoCA::SP99225	3449	0.541	91739648.332	2659891.224%	20822506.617	4705642.201%	0.54364	0.339
Biliary-AdenoCA::SP99241	18009	0.463	479019810.613	2659891.224%	108725164.557	4635984.526%	0.67879	0.199
Bladder-TCC::SP1086	15354	0.527	408399698.604	2659891.224%	92695797.784	3632919.796%	0.58629	0.356
Bladder-TCC::SP1003	25212	0.423	670611775.511	2659891.224%	152210328.316	2302193.78%	0.91906	0.302
Bladder-TCC::SP1677	31114	0.412	827598555.578	2659891.224%	187841690.585	2066362.038%	0.98244	0.305
Bladder-TCC::SP1305	36432	0.529	969051570.895	2659891.224%	219949448.612	4642246.2%	0.5883	0.317
Bladder-TCC::SP963	34116	0.373	907448490.137	2659891.224%	205965384.272	1868702.984%	1.22338	0.273
Bladder-TCC::SP1144	20222	0.444	537883203.41	2659891.224%	122084650.515	2455234.04%	0.81971	0.317
Bladder-TCC::SP1132	18936	0.566	503677002.264	2659891.224%	114321451.284	4612992.975%	0.56341	0.385
Bladder-TCC::SP1712	9910	0.389	263595220.344	2659891.224%	59828802.44	2072772.957%	1.07149	0.277
Bladder-TCC::SP1114	12531	0.494	333310969.337	2659891.224%	75652837.083	4032668.941%	0.62259	0.287
Bladder-TCC::SP1431	8970	0.45	238592242.834	2659891.224%	54153777.868	2300437.649%	0.82992	0.334
Bladder-TCC::SP975	19689	0.611	523705983.184	2659891.224%	118867441.036	4776399.316%	0.51538	0.47
Bladder-TCC::SP1059	59185	0.459	1574256621.197	2659891.224%	357314086.399	3152608.569%	0.77515	0.29
Bladder-TCC::SP1419	12575	0.552	334481321.476	2659891.224%	75918317.08	3848754.894%	0.55094	0.383
Bladder-TCC::SP1009	13451	0.5	357781968.602	2659891.224%	81206738.899	2968288.169%	0.6574	0.355
Bladder-TCC::SP1724	14030	0.395	373182738.792	2659891.224%	84702120.111	2092355.192%	1.052	0.283
Bladder-TCC::SP96136	51896	0.449	1380377149.846	2659891.224%	313307017.969	2274564.556%	0.76924	0.335
Bladder-TCC::SP967	3451	0.53	91792846.156	2659891.224%	20834507.769	3526226.347%	0.52701	0.365
Bladder-TCC::SP1781	38004	0.344	1010865060.944	2659891.224%	229438169.644	1767198.962%	1.40517	0.246
Bladder-TCC::SP1174	13331	0.566	354590099.133	2659891.224%	80482321.355	3490952.97%	0.53951	0.417
Bladder-TCC::SP953	34842	0.432	926759300.426	2659891.224%	210349054.447	2559849.062%	0.83938	0.294
Bladder-TCC::SP1377	10131	0.387	269473579.95	2659891.224%	61163215.33	2462371.258%	0.94187	0.245
Bladder-TCC::SP1365	9621	0.568	255908134.705	2659891.224%	58084334.675	4108303.386%	0.54404	0.398
Bladder-TCC::SP1491	12007	0.571	319373139.321	2659891.224%	72489127.361	3842907.686%	0.47237	0.41
Bone-Benign::SP116536	1627	0.49	43276430.222	2659891.224%	9822627.562	4545808.012%	0.6769	0.253
Bone-Benign::SP116539	670	0.485	17821271.204	2659891.224%	4044965.535	4399821.741%	0.72193	0.252
