Samples	Sig1	Sig2	Sig3	Sig4	Sig5	Sig6	Sig7
Kidney-RCC::SP37903	0	0	0	0	7775	0	0
Kidney-RCC::SP35849	0	0	0	3362	0	0	0
Kidney-RCC::SP36586	0	0	0	3106	0	0	0
Kidney-RCC::SP34431	0	0	0	2982	0	0	0
Kidney-RCC::SP37432	0	0	0	5645	0	0	0
Kidney-RCC::SP35989	0	0	0	0	0	0	3913
Kidney-RCC::SP39102	0	0	0	4572	0	0	0
Kidney-RCC::SP34493	0	0	0	3922	0	0	0
Kidney-RCC::SP36036	0	0	0	3818	0	0	0
Kidney-RCC::SP35951	0	0	0	6968	0	0	0
Kidney-RCC::SP39248	0	0	0	0	0	0	4300
Kidney-RCC::SP34246	0	0	5527	0	0	0	0
Kidney-RCC::SP35412	0	0	0	6784	0	0	0
Kidney-RCC::SP39298	0	0	0	8695	0	0	0
Kidney-RCC::SP38044	0	0	0	6580	0	0	0
Kidney-RCC::SP38271	0	0	0	5557	0	0	0
Kidney-RCC::SP43201	0	0	0	4808	0	0	0
Kidney-RCC::SP34191	0	0	4778	0	0	0	0
Kidney-RCC::SP40047	0	0	0	6876	0	0	0
Kidney-RCC::SP39349	0	0	0	3855	0	0	0
Kidney-RCC::SP37369	0	0	0	3203	0	0	0
Kidney-RCC::SP38759	0	0	0	7609	0	0	0
Kidney-RCC::SP36218	0	0	0	3740	0	0	0
Kidney-RCC::SP43510	0	0	0	3897	0	0	0
Kidney-RCC::SP43770	0	0	0	4325	0	0	0
Kidney-RCC::SP43651	0	0	0	7222	0	0	0
Kidney-RCC::SP106656	0	0	0	5345	0	0	0
Kidney-RCC::SP97249	0	0	0	6669	0	0	0
Kidney-RCC::SP106638	0	0	0	7277	0	0	0
Kidney-RCC::SP97161	0	0	0	6341	0	0	0
Kidney-RCC::SP43696	0	0	0	6229	0	0	0
Kidney-RCC::SP97113	0	0	0	4307	0	0	0
Kidney-RCC::SP97124	0	0	0	7628	0	0	0
Kidney-RCC::SP43808	0	0	0	3165	0	0	0
Kidney-RCC::SP43822	0	0	0	4969	0	0	0
Kidney-RCC::SP43514	0	0	0	3165	0	0	0
Kidney-RCC::SP97258	0	0	0	5461	0	0	0
Kidney-RCC::SP97194	0	0	0	10282	0	0	0
Kidney-RCC::SP109470	0	0	0	7042	0	0	0
Kidney-RCC::SP97278	0	0	0	5153	0	0	0
Kidney-RCC::SP109544	0	0	0	5015	0	0	0
Kidney-RCC::SP97104	0	0	0	7905	0	0	0
Kidney-RCC::SP106577	0	0	0	6970	0	0	0
Kidney-RCC::SP109457	0	0	0	3637	0	0	0
Kidney-RCC::SP109478	0	0	0	1854	0	0	0
Kidney-RCC::SP43688	0	0	0	3570	0	0	0
Kidney-RCC::SP97243	0	0	0	5376	0	0	0
Kidney-RCC::SP97269	0	0	0	6872	0	0	0
Kidney-RCC::SP113926	0	0	0	2689	0	0	0
Kidney-RCC::SP106560	0	0	0	3713	0	0	0
Kidney-RCC::SP43792	0	0	0	5383	0	0	0
Kidney-RCC::SP106602	0	0	0	4418	0	0	0
Kidney-RCC::SP97145	0	0	0	2330	0	0	0
Kidney-RCC::SP43664	0	0	0	7399	0	0	0
Kidney-RCC::SP43532	0	0	0	4781	0	0	0
Kidney-RCC::SP102816	0	0	0	0	0	0	5072
Kidney-RCC::SP102795	0	0	0	9259	0	0	0
Kidney-RCC::SP103197	0	0	0	7291	0	0	0
Kidney-RCC::SP102827	0	0	0	7527	0	0	0
Kidney-RCC::SP103233	0	0	6207	0	0	0	0
Kidney-RCC::SP103507	0	0	0	19269	0	0	0
Kidney-RCC::SP103100	0	0	0	4243	0	0	0
