Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Kidney-RCC::SP37903	7775	0.944	1854657655.84	23854117.76%	228264934.571	22924048.001%	0.07045	0.838
Kidney-RCC::SP35849	3362	0.95	162076126.616	4820824.706%	19049123.632	4561856.369%	0.05841	0.836
Kidney-RCC::SP36586	3106	0.937	149734815.368	4820824.706%	17598624.962	4495387.767%	0.07298	0.803
Kidney-RCC::SP34431	2982	0.958	143756992.733	4820824.706%	16896061.3	4899076.339%	0.06045	0.824
Kidney-RCC::SP37432	5645	0.96	272135554.654	4820824.706%	31984641.461	4740380.148%	0.04374	0.846
Kidney-RCC::SP35989	3913	0.969	349564276.577	8933408.55%	41413356.415	8772736.506%	0.03956	0.886
Kidney-RCC::SP39102	4572	0.962	220408105.558	4820824.706%	25904993.367	4606484.26%	0.04105	0.873
Kidney-RCC::SP34493	3922	0.949	189072744.969	4820824.706%	22222085.4	4525348.03%	0.05603	0.841
Kidney-RCC::SP36036	3818	0.964	184059087.275	4820824.706%	21632829.099	4682255.051%	0.04451	0.868
Kidney-RCC::SP35951	6968	0.957	335915065.514	4820824.706%	39480776.961	4730533.975%	0.05095	0.836
Kidney-RCC::SP39248	4300	0.949	384136567.667	8933408.55%	45509178.66	8524171.669%	0.05736	0.833
Kidney-RCC::SP34246	5527	0.947	727074144.312	13154951.046%	88733414.99	13194403.037%	0.07199	0.823
Kidney-RCC::SP35412	6784	0.959	327044748.055	4820824.706%	38438220.009	4677532.597%	0.04641	0.852
Kidney-RCC::SP39298	8695	0.943	419170708.187	4820824.706%	49266019.256	4848639.539%	0.07318	0.765
Kidney-RCC::SP38044	6580	0.957	317210265.655	4820824.706%	37282362.555	4720088.149%	0.04836	0.836
Kidney-RCC::SP38271	5557	0.971	267893228.912	4820824.706%	31486034.073	4806322.372%	0.03471	0.881
Kidney-RCC::SP43201	4808	0.954	231785251.864	4820824.706%	27242184.868	4679365.082%	0.05023	0.833
Kidney-RCC::SP34191	4778	0.969	628543560.978	13154951.046%	76708556.062	13201109.419%	0.04134	0.895
Kidney-RCC::SP40047	6876	0.96	331479906.785	4820824.706%	38959512.509	4797431.122%	0.05079	0.839
Kidney-RCC::SP39349	3855	0.965	185842792.416	4820824.706%	21842469.822	4669593.524%	0.04028	0.874
